time,vehicles
0,0
6,0
12,0
18,0
24,0
30,0
36,0
42,0
48,0
54,0
60,0
66,0
72,0
78,2
84,0
100,0
106,0
112,0
118,1
124,0
130,0
136,0
142,0
148,0
154,1
160,0
166,0
172,0
178,0
184,0
200,0
206,0
212,0
218,0
224,0
230,1
236,0
242,0
248,0
254,2
260,0
266,0
272,0
278,0
284,0
300,0
306,0
312,0
318,0
324,0
330,1
336,0
342,1
348,0
354,0
360,0
366,0
372,0
378,1
384,0
400,0
406,0
412,0
418,1
424,0
430,0
436,1
442,0
448,1
454,0
460,1
466,0
472,0
478,0
484,0
500,0
